command,category
pvcreate,LVM
pvs,LVM
pvscan,LVM
pvdisplay,LVM
pvck,LVM
pvchange,LVM
pvremove,LVM
pvresize,LVM
pvmove,LVM
vgcreate,LVM
vgs,LVM
vgscan,LVM
vgdisplay,LVM
vgck,LVM
vgchange,LVM
vgremove,LVM
vgextend,LVM
vgreduce,LVM
vgmerge,LVM
vgsplit,LVM
vgimport,LVM
vgexport,LVM
lvcreate,LVM
lvs,LVM
lvscan,LVM
lvdisplay,LVM
lvchange,LVM
lvremove,LVM
lvextend,LVM
lvreduce,LVM
lvresize,LVM
dmsetup,LVM
lvm,LVM
lvmsar,LVM
lvmdiskscan,LVM
lvmconfig,LVM
mkinitrd,System Boot
mkinitramfs,System Boot
dracut,System Boot
kexec,System Boot
freeramdisk,System Boot
service,Service Management
update-rc.d,Service Management
chkconfig,Service Management
rcservice,Service Management
systemctl,Service Management
systemd-machine-id-setup,Service Management
runlevel,Runlevel Control
init,Runlevel Control
telinit,Runlevel Control
shutdown,Runlevel Control
halt,Runlevel Control
poweroff,Runlevel Control
reboot,Runlevel Control
who,Login/Session
w,Login/Session
last,Login/Session
lastb,Login/Session
fail2ban,Login/Session
pam_tally2,Login/Session
acct,Login/Session
ac,Login/Session
lastcomm,Login/Session
sa,Login/Session
fdisk,Partitioning
parted,Partitioning
sfdisk,Partitioning
cfdisk,Partitioning
gparted,Partitioning
gnome-disks,Partitioning
partprobe,Partitioning
hdparm,Partitioning
mkfs,Filesystem Creation
mkfs.ext2,Filesystem Creation
mke2fs,Filesystem Creation
mkfs.ext3,Filesystem Creation
mke3fs,Filesystem Creation
mkfs.ext4,Filesystem Creation
mkfs.msdos,Filesystem Creation
mkdosfs,Filesystem Creation
mkfs.ntfs,Filesystem Creation
mkntfs,Filesystem Creation
mkfs.reiserfs,Filesystem Creation
mkreiserfs,Filesystem Creation
mkfs.jfs,Filesystem Creation
mkfs.xfs,Filesystem Creation
mkfs.btrfs,Filesystem Creation
mount,Mount Operations
umount,Mount Operations
eject,Mount Operations
mountpoint,Mount Operations
blkid,Mount Operations
findfs,Mount Operations
