command,category
a2ps,Print Servers
acct,Login/Session
addgroup,Group Management
aide,File Operations
aide,Miscellaneous
anacron,Scheduling
antiword,Text Processing
apache2,Web Servers
apt-cdrom,Package Management - Debian
audit2why,SELinux
ausearch,SELinux
authselect,Directory Services
autoexpect,Automation
away,Terminal
bing,Network Tools
biosdecode,System Information
bunzip2,Archive
burp,Backup
bzcat,Archive
CA.pl,Security
cacti,Monitoring
catdoc,Text Processing
cdrwtool,CD/DVD Filesystem
centreon,Monitoring
chacl,File Permissions
chef,Configuration Management
chkrootkit,Miscellaneous
chronyd,Time
chvt,Terminal
crond,Scheduling
dbus-monitor,Miscellaneous
debugreiserfs,Filesystem Maintenance
delgroup,Group Management
depmod,Kernel
dhcpd,DHCP
dhcpdump,Network Monitoring
dhcrelay,DHCP
dmsetup,LVM
dnssec-keygen,DNS
dnssec-signzone,DNS
dnswalk,DNS
dropdb,SQL
dselect,Package Management - Debian
exim,Email Servers
exim4,Email
exportfs,File Sharing
facter,Configuration Management
fail2ban,Login/Session
fancontrol,Hardware Control
firewall-config,Firewall
firewall-offline-cmd,Firewall
formail,Email
freeramdisk,System Boot
fsck.cramfs,Filesystem Maintenance
fsck.ext2,Filesystem Maintenance
fsck.ext3,Filesystem Maintenance
fsck.ext4,Filesystem Maintenance
fsck.msdos,Filesystem Maintenance
fsck.vfat,Filesystem Maintenance
gdm,X Window
gkrellm,Utilities
gnome-device-manager,Device Management
gnome-disks,Partitioning
gparted,Partitioning
grub,System Recovery
grub2-editenv,System Recovery
grub2-set-default,System Recovery
gv,Print Servers
gvim,Text Editors
haveged,Utilities
hcidump,Wireless
hddtemp,Hardware Control
hexedit,Text Editors
hoststat,Email Servers
htdigest,Web Servers
httpd,Web Servers
initramfs,System Recovery
innotop,SQL
inotify-tools,Miscellaneous
iptraf,Network Monitoring
iptraf-ng,Network Monitoring
irqbalance,Performance Tuning
iscsiadm,Storage
iscsid,Storage
iwgetid,Wireless
json_reformat,Text Processing
json_verify,Text Processing
kdm,X Window
kvm,Virtualization
ld.so,Libraries
ldapadd,Directory Services
ldapdelete,Directory Services
ldapmodify,Directory Services
ldappasswd,Directory Services
libvirtd,Virtualization
lpc,Print Servers
lsdev,Device Management
lvchange,LVM
lvmconfig,LVM
lvmdiskscan,LVM
lvmsar,LVM
lvscan,LVM
mailq,Email Servers
mailstats,Email Servers
makemap,Email Servers
mkdosfs,Filesystem Creation
mke3fs,Filesystem Creation
mkfontdir,X Window
mkfs.ext2,Filesystem Creation
mkfs.ext3,Filesystem Creation
mkfs.jfs,Filesystem Creation
mkfs.msdos,Filesystem Creation
mkfs.reiserfs,Filesystem Creation
mkinitramfs,System Boot
mkinitrd,System Boot
mkntfs,Filesystem Creation
mkreiserfs,Filesystem Creation
mkudffs,CD/DVD Filesystem
mountd,File Sharing
mpage,Print Servers
mrtg,Monitoring
mtx,Backup
multipath,Filesystem Operations
munin,Monitoring
mysql_install_db,Database Servers
mysql_upgrade,SQL
mysqladmin,SQL
mysqld_safe,Database Servers
mysqlreport,SQL
mysqlslap,SQL
mysqltuner.pl,SQL
nagios,Monitoring
ndc,DNS
netdata,Monitoring
newaliases,Email Servers
nfsd,File Sharing
nmbd,File Sharing
on_ac_power,Utilities
oscap,Miscellaneous
pacmd,Audio/Video
pam_tally2,Login/Session
pico,Text Editors
pine,Email
pirut,Package Management - Red Hat
postalias,Email
postalias,Email Servers
postgres,Database Servers
postgresql-setup,SQL
postmap,Email
postmap,Email Servers
postqueue,Email
postqueue,Email Servers
postsuper,Email
postsuper,Email Servers
praliases,Email Servers
procmail,Email
ps2pdf,Print Servers
pump,Network Configuration
pure-ftpd,FTP Servers
pure-ftpwho,FTP Servers
purgestat,Email Servers
pvchange,LVM
pvck,LVM
pvmove,LVM
pvresize,LVM
pwqgen,Utilities
rcservice,Service Management
rec,Audio/Video
redir,Network Tools
reiserfstune,Filesystem Maintenance
repoquery,Package Management - Red Hat
rnano,Text Editors
rndc,DNS
rndc-confgen,DNS
rpl,Text Processing
runlevel,Runlevel Control
scponly,SSH
sdparm,Hardware Control
sealert,SELinux
semodule,SELinux
skill,Process Management
slapadd,Directory Services
slapcat,Directory Services
slapd,Directory Services
slapindex,Directory Services
slaptest,Directory Services
slocate,File Search
smartd,Filesystem Maintenance
smbd,File Sharing
smbmount,File Sharing
smbstatus,File Sharing
snice,Process Management
sssd,Directory Services
star,Archive
stress-ng,Resource Monitoring
stunnel,Security
switchdesk,X Window
synaptic,Package Management - Debian
system-config-users,User Management
targetcli,Storage
teamdctl,Network Configuration
teamnl,Network Configuration
testparm,File Sharing
tmpwatch,File Management
tomcat,Web Application Servers
tuned,Performance Tuning
tzconfig,Localization
udevmonitor,Device Management
udffsck,CD/DVD Filesystem
update-grub,System Recovery
usleep,Command Execution
vgck,LVM
vgexport,LVM
vgextend,LVM
vgimport,LVM
vgmerge,LVM
vgreduce,LVM
vgsplit,LVM
virt-what,Virtualization
vlock,Terminal
vpddecode,System Information
vsftpd,FTP Servers
wireshark,Network Monitoring
wrudf,CD/DVD Filesystem
xdm,X Window
xdpyinfo,X Window
xfs,X Window
xfs_check,Filesystem Maintenance
xfs_growfs,Filesystem Operations
xfs_info,Filesystem Maintenance
xfsdump,Filesystem Maintenance
xfsrestore,Filesystem Maintenance
xorgcfg,X Window
xorgconfig,X Window
yum-complete-transaction,Package Management - Red Hat
yumdownloader,Package Management - Red Hat
zabbix,Monitoring
